code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume,report_year,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
002362,2024,2024-12-31,102532,C39,102,85,2153,51146,0.039479795633999,0.0019942908536346,39.479795633999075,1.994290853634693,3167479778,4694282.22,5539342.28,-0.115535,21.876202086240216,2024,21.392085273103742,0.3462464524720047,-0.054855,0.252879,0.399514,2.854785,2.70805020110221,2.70805020110221,0.4666666666666667,0.0,0.196482,0.0
002363,2020,2020-12-31,103162,C36,0,0,2485,51756,0.0,0.0,0.0,0.0,2970842263,2827155.54,2829482.05,0.185761,21.812111340129203,2020,21.895785262677702,0.2921442340258774,0.013465,-0.022281,0.520604,1.167974,2.3978952727983707,2.1972245773362196,0.5555555555555556,1.0,0.422426,0.0
002363,2021,2021-12-31,103162,C36,2,2,2510,51638,0.0007968127490039,3.873116697006081e-05,0.7968127490039841,0.0387311669700608,1644480884,2452973.19,2454991.78,-0.102941,21.22069059993203,2021,21.967550359181715,0.3567762740943107,0.008667,0.227507,0.5281,1.064122,2.4849066497880004,1.9459101490553132,0.42857142857142855,1.0,0.422426,0.0
002363,2022,2022-12-31,103162,C36,0,0,2480,52065,0.0,0.0,0.0,0.0,3570550315,2931095.08,2933507.12,0.228814,21.9959855709981,2022,21.99759344653272,0.3872782231709,0.011732,0.160594,0.484802,1.207372,2.5649493574615367,1.9459101490553132,0.42857142857142855,1.0,0.422426,0.0
002363,2023,2023-12-31,103162,C36,0,0,2748,57218,0.0,0.0,0.0,0.0,4443400785,3396744.22,3424539.66,0.175887,22.214685862998856,2023,21.949223970546367,0.36192218755631334,0.008727,-0.021244,0.623919,1.363965,2.6390573296152584,2.302585092994046,0.5,1.0,0.419342,0.0
002363,2024,2024-12-31,103162,C36,1,1,2645,52594,0.0003780718336483,1.9013575693044833e-05,0.3780718336483932,0.0190135756930448,2272864632,2731531.16,2745131.94,-0.179927,21.544306825709903,2024,21.9398456396789,0.35993192030806576,0.012236,0.06961,0.758273,1.172296,2.70805020110221,1.9459101490553132,0.42857142857142855,1.0,0.420679,0.0
002364,2020,2020-12-31,103163,C38,16,15,2706,58420,0.0055432372505543,0.0002738788086271,5.543237250554324,0.2738788086271825,3159130190,4711271.19,5066448.99,-0.214347,21.873562570642683,2020,21.96113176234889,0.35250712700615366,0.026122,0.221449,0.34313,1.764179,2.3978952727983707,2.1972245773362196,0.3333333333333333,0.0,0.355575,0.0
002364,2021,2021-12-31,103163,C38,12,9,2787,61330,0.0032292787944025,0.0001956628077612,3.2292787944025836,0.1956628077612913,2771055613,5051195.33,5365138.42,0.070078,21.74249417263668,2021,21.9058249793421,0.28290977637688974,0.025173,0.268838,0.224793,1.864044,2.4849066497880004,2.1972245773362196,0.3333333333333333,0.0,0.355575,0.0
002364,2022,2022-12-31,103163,C38,10,6,2630,57540,0.0022813688212927,0.000173792144595,2.2813688212927756,0.1737921445950643,3019166229,3650816.76,3916776.47,-0.259454,21.828246547433867,2022,21.90917482716245,0.31196961373975435,-0.017286,-0.115331,0.306811,1.473385,2.5649493574615367,2.3978952727983707,0.36363636363636365,0.0,0.355575,0.0
002364,2023,2023-12-31,103163,C38,5,4,2873,59526,0.0013922728854855,8.399690891375197e-05,1.3922728854855553,0.0839969089137519,2700746051,4297404.15,4339450.19,0.107914,21.71679388734414,2023,21.917800391531674,0.2942413138662295,0.012915,-0.033349,0.408683,1.602508,2.6390573296152584,2.0794415416798357,0.375,0.0,0.355575,0.0
002364,2024,2024-12-31,103163,C38,10,9,2658,59655,0.0033860045146726,0.0001676305422848,3.386004514672686,0.1676305422848042,3986900144,6021946.85,6080865.92,0.407792,22.106279859885262,2024,22.05442975173155,0.3506910347845316,0.031911,0.261332,0.452218,1.947798,2.70805020110221,2.1972245773362196,0.4444444444444444,0.0,0.355575,0.0
002365,2020,2020-12-31,102500,C27,0,0,2443,55322,0.0,0.0,0.0,0.0,1908619315,2281285.5,2764121.85,-0.033469,21.369645946403395,2020,21.495100822348842,0.16172280127990374,0.058286,-0.144179,0.355198,1.362481,2.3978952727983707,1.791759469228055,0.5,0.0,0.21537800000000001,0.0
002365,2021,2021-12-31,102500,C27,0,0,2552,59172,0.0,0.0,0.0,0.0,1144127490,2578150.62,3126581.33,0.141791,20.857908166876506,2021,21.550036881383406,0.14390090048135534,0.053508,0.334701,0.318733,1.424124,2.4849066497880004,2.1972245773362196,0.6,0.0,0.21537800000000001,0.0
002365,2022,2022-12-31,102500,C27,0,0,2444,58470,0.0,0.0,0.0,0.0,2794750674,2564839.61,3094166.25,-0.010368,21.751008735638965,2022,21.60875881983509,0.1324873431860437,0.056356,-0.065773,0.963481,1.338919,2.5649493574615367,1.791759469228055,0.5,0.0,0.21537800000000001,0.0
002365,2023,2023-12-31,102500,C27,0,0,2395,56465,0.0,0.0,0.0,0.0,1124887134,2387835.18,2881994.85,-0.059048,20.840948543125517,2023,21.576462590456778,0.12732427430973745,-0.011911,-0.334752,1.143719,1.294378,2.6390573296152584,1.791759469228055,0.5,0.0,0.21537800000000001,0.0
002365,2024,2024-12-31,102500,C27,0,0,2444,57778,0.0,0.0,0.0,0.0,1074589079,1949588.48,2354513.18,-0.172802,20.79520417428665,2024,21.55990837585087,0.11545756823513184,0.025649,-0.137811,1.290184,1.112783,2.70805020110221,2.1972245773362196,0.5555555555555556,0.0,0.21537800000000001,0.0
002366,2020,2020-12-31,102501,C35,0,0,2594,54134,0.0,0.0,0.0,0.0,5466499866,2032619.65,2921983.27,-0.515805,22.4219043705088,2020,22.468615552011507,0.8301192499791794,-0.246025,-0.136733,0.020263,1.236689,2.3978952727983707,2.1972245773362196,0.3333333333333333,0.0,0.30267499999999997,0.0
002366,2021,2021-12-31,102501,C35,0,0,2586,55791,0.0,0.0,0.0,0.0,11053878499,2926046.99,4196557.57,0.436202,23.126047198800784,2021,22.335220988440184,0.9072087662163693,-0.160492,-0.072177,0.016147,1.568119,2.4849066497880004,2.1972245773362196,0.3333333333333333,0.0,0.30267499999999997,0.0
002366,2022,2022-12-31,102501,C35,0,0,2341,49432,0.0,0.0,0.0,0.0,7127101523,4613377.15,10696019.47,0.061983,22.68717047034855,2022,,,,,,,,,,,,
002366,2023,2023-12-31,102501,C35,0,0,2473,49521,0.0,0.0,0.0,0.0,5054359939,6759778.42,11195444.5,0.046693,22.34351706221304,2023,22.84528183930348,0.38016108814615307,0.023434,0.49234,1.482709,1.435496,2.6390573296152584,2.6390573296152584,0.42857142857142855,0.0,0.27,1.0
002366,2024,2024-12-31,102501,C35,0,0,1876,40300,0.0,0.0,0.0,0.0,9633555733,5767171.55,9551503.77,-0.14684,22.988518229704592,2024,22.815155846068414,0.36504423812961256,-0.00353,0.351403,0.449361,1.328593,2.70805020110221,1.9459101490553132,0.42857142857142855,0.0,0.27,1.0
002367,2020,2020-12-31,102502,C34,10,10,2235,59502,0.0044742729306487,0.000168061577762,4.47427293064877,0.168061577762092,5210668483,5155580.48,7840925.91,0.30566,22.373973992350415,2020,22.56132589986517,0.519153795223863,0.079651,0.168432,0.248986,1.504219,2.3978952727983707,2.302585092994046,0.6,1.0,0.449558,0.0
002367,2021,2021-12-31,102502,C34,12,9,2107,50424,0.0042714760322733,0.0002379819133745,4.271476032273375,0.2379819133745835,1346236634,4252793.26,6446417.25,-0.152594,21.020578858808992,2021,22.678082417627184,0.5447347331323933,0.060773,0.207889,0.247578,1.296739,2.4849066497880004,1.9459101490553132,0.42857142857142855,1.0,0.449558,0.0
