code,report_year,AI_innovation,AI_risk,AI_total,AI_innovation_disclosure,AI_risk_disclosure,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE,turnover
000034,2019,61,0,61,1,0,24.104971226102343,0.8513007172882072,0.025328,0.060413,0.136613,1.215227,3.258096538021482,2.1972245773362196,0.5555555555555556,1,0.236638,0,
000034,2020,84,0,84,1,0,24.147189777273567,0.846762777761216,0.020765,0.060563,0.14278,1.23226,3.295836866004329,1.9459101490553132,0.5714285714285714,1,0.234668,0,0.5682723575382935
000034,2021,93,0,93,1,0,24.385631353685103,0.8301454586485454,0.007173,0.329397,0.128235,1.080481,3.332204510175204,2.1972245773362196,0.6,1,0.234255,0,0.2941507801138729
000034,2022,98,0,98,1,0,24.417531800075754,0.7956044008323057,0.026155,-0.053151,0.146736,1.131458,3.367295829986474,2.0794415416798357,0.6,1,0.231545,0,0.3353665600101839
000034,2023,140,0,140,1,0,24.527340708304912,0.793700550998361,0.028352,0.032308,0.184702,1.197113,3.4011973816621555,2.1972245773362196,0.5555555555555556,1,0.231156,0,0.4391517479227714
000035,2019,5,0,5,1,0,24.579710824862968,0.7525528872677132,0.027432,1.699788,0.208776,1.041515,3.258096538021482,1.9459101490553132,0.4285714285714285,0,0.1620339999999999,0,
000035,2020,6,0,6,1,0,24.64281807381993,0.7519837561718643,0.016965,0.176488,0.152549,0.959058,3.295836866004329,2.1972245773362196,0.4444444444444444,0,0.1620339999999999,0,0.282368705544775
000035,2021,13,0,13,1,0,23.921915029191293,0.5448085179724255,0.023186,-0.058297,0.556766,1.159347,3.332204510175204,1.9459101490553132,0.4285714285714285,0,0.1620339999999999,0,0.2587335459511585
000035,2022,12,0,12,1,0,23.999193682041316,0.6056300956896348,0.004772,-0.611835,0.081848,1.086583,3.367295829986474,2.0794415416798357,0.5,0,0.152148,0,0.6681105891567586
000035,2023,12,0,12,1,0,24.059467853869492,0.6145240854742838,0.014084,-0.206222,0.041231,1.056395,3.4011973816621555,2.3978952727983707,0.5454545454545454,0,0.145096,0,0.3527510133283956
000036,2020,6,0,6,1,0,23.106921460181823,0.4628184958841638,0.067251,-0.146297,1.350813,1.007408,3.295836866004329,1.9459101490553132,0.4285714285714285,0,0.332136,0,0.5296794453731541
000036,2021,2,0,2,1,0,22.983578813465993,0.3728753160014896,0.051641,-0.304295,0.964626,1.044582,3.332204510175204,1.9459101490553132,0.4285714285714285,0,0.332136,0,0.4358228275705888
000036,2022,1,0,1,1,0,22.94636519059651,0.3222535740015797,0.063675,0.245503,1.65871,0.973045,3.367295829986474,2.302585092994046,0.3,0,0.282136,0,0.6426801672065925
000037,2019,1,0,1,1,0,21.892417890881905,0.3593275413632321,0.007874,-0.351396,0.755167,2.008369,3.258096538021482,2.4849066497880004,0.3333333333333333,0,0.152835,0,
000037,2020,1,0,1,1,0,21.828797772892433,0.3088846844041903,0.02177,-0.194118,0.93315,1.83095,3.295836866004329,2.1972245773362196,0.3333333333333333,0,0.152835,0,0.3116636488461371
000037,2021,2,0,2,1,0,21.749308445112508,0.4342866245041272,-0.175328,-0.231492,0.622089,1.60929,3.332204510175204,2.4849066497880004,0.25,0,0.152835,0,0.7045331201446122
000037,2023,2,0,2,1,0,21.440796015678448,0.3213443686881825,-0.000862,-0.150451,0.752734,1.888346,3.4011973816621555,2.1972245773362196,0.3333333333333333,0,0.152835,0,1.2440595913120869
000038,2019,1,0,1,1,0,21.793877829970004,0.059551061562431,0.041643,-0.285867,5.300875,1.523644,3.258096538021482,2.5649493574615367,0.3076923076923077,1,0.2142399999999999,0,
000038,2020,1,0,1,1,0,21.898375399094338,0.1020166881452387,0.025811,0.160993,1.849499,1.296918,3.295836866004329,1.791759469228055,0.5,1,0.2142399999999999,0,1.2806302558765503
000038,2021,1,0,1,1,0,21.78819822486211,0.2283746836956841,-0.224049,0.060489,0.926628,1.35379,3.332204510175204,1.9459101490553132,0.4285714285714285,1,0.2142399999999999,0,0.3297378087279831
