code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,report_year,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE,turnover
000014,2022,2022-12-31,101621,K70,1,1,1751,38717,0.0005711022272986,2.582844745202366e-05,0.5711022272986864,0.0258284474520236,4127349729,2466451.02,2466451.02,2022,21.818760100475817,0.5922796217981147,0.089717,0.189899,0.342531,1.416997,3.4011973816621555,2.1972245773362196,0.3333333333333333,0.0,0.340167,1.0,1.6733961856659938
000014,2023,2023-12-31,101621,K70,1,1,1658,35801,0.0006031363088057,2.7932180665344545e-05,0.6031363088057901,0.0279321806653445,3152861743,2664928.93,2664928.93,2023,21.64448813718703,0.3190878850226296,0.182303,0.81929,0.723449,1.379815,3.4339872044851463,2.4849066497880004,0.4166666666666667,0.0,0.340167,1.0,1.183094118386114
000014,2024,2024-12-31,101621,K70,1,1,1678,35550,0.000595947556615,2.8129395218002813e-05,0.5959475566150179,0.0281293952180028,2883358074,2660088.0,2660088.0,2024,21.507692123767196,0.2353819998019801,0.007219,-0.565412,0.74654,1.449397,3.4657359027997265,2.1972245773362196,0.3333333333333333,0.0,0.340167,1.0,1.0839333413029946
000017,2020,2020-12-31,101711,C37,0,0,2310,41573,0.0,0.0,0.0,0.0,1576887844,730184.23,730193.77,2020,,,,,,,,,,,,,2.1595753225182635
000017,2021,2021-12-31,101711,C37,0,0,2406,43832,0.0,0.0,0.0,0.0,1518840170,1081642.2,1081656.33,2021,19.975656577584655,0.7534728193113805,-0.01734,0.402088,0.454613,9.598497,3.367295829986474,2.1972245773362196,0.3333333333333333,1.0,0.115188,0.0,1.4041983291702191
000017,2022,2022-12-31,101711,C37,0,0,2314,44838,0.0,0.0,0.0,0.0,3489761288,1442189.6,2098312.49,2022,19.809886412775423,0.2326120252625267,-0.032277,1.691506,0.556421,4.764823,3.4011973816621555,2.70805020110221,0.4,0.0,0.2,0.0,2.4197659503299707
000017,2023,2023-12-31,101711,C37,1,1,2810,52610,0.0003558718861209,1.9007793195210037e-05,0.3558718861209964,0.01900779319521,1564191549,1317984.6,1917575.49,2023,19.79677911194458,0.1630511487881478,0.046955,0.27817,0.913783,4.516669,3.4339872044851463,2.1972245773362196,0.3333333333333333,0.0,0.2,0.0,1.1868056341477735
000017,2024,2024-12-31,101711,C37,3,2,2694,51797,0.0007423904974016,5.791841226325849e-05,0.7423904974016332,0.0579184122632584,8900695581,1757312.8,2556767.32,2024,19.88959624975665,0.1526357864616847,0.039392,0.020031,1.280498,5.240468,3.4657359027997265,2.1972245773362196,0.3333333333333333,0.0,0.2,0.0,5.064946650932037
000019,2020,2020-12-31,101629,F51,8,8,2583,55227,0.0030971738288811,0.0001448566824198,3.097173828881146,0.1448566824198308,4986584548,3121386.24,8255894.81,2020,22.712424859269852,0.343960406644108,0.057336,0.074552,0.123715,1.183802,3.332204510175204,2.1972245773362196,0.3333333333333333,0.0,0.63793,1.0,1.5975544724641315
000019,2021,2021-12-31,101629,F51,6,6,2767,60432,0.0021684134441633,9.928514694201748e-05,2.168413444163354,0.0992851469420174,1683016749,2896646.43,7661470.38,2021,22.760532764822592,0.38759587352644,0.058256,-0.146827,0.024269,1.148954,3.367295829986474,2.302585092994046,0.3,0.0,0.63793,1.0,0.5810224995254253
000019,2022,2022-12-31,101629,F51,3,3,2723,60909,0.0011017260374586,4.925380485642516e-05,1.1017260374586857,0.0492538048564251,4373565576,3125548.09,8266902.66,2022,22.730316061501014,0.3505889204985948,0.055364,-0.18017,0.021879,1.179049,3.4011973816621555,2.1972245773362196,0.3333333333333333,0.0,0.63793,1.0,1.3992955635502635
000019,2023,2023-12-31,101629,F51,3,3,2807,59346,0.0010687566797292,5.0551005965018706e-05,1.0687566797292485,0.0505510059650187,1583548838,3138271.71,8299926.24,2023,22.72454692425846,0.3407254074542789,0.046716,-0.255358,0.097998,1.176962,3.4339872044851463,2.302585092994046,0.3,0.0,0.63793,1.0,0.5045926498187119
000019,2024,2024-12-31,101629,F51,3,3,2713,56097,0.0011057869517139,5.3478795657521794e-05,1.1057869517139698,0.0534787956575218,1848002559,2734541.79,7232163.85,2024,22.766374058978688,0.3620655939940835,0.042883,-0.13165,0.060924,1.116377,3.4657359027997265,2.1972245773362196,0.3333333333333333,0.0,0.63793,1.0,0.6757997137794701
000020,2020,2020-12-31,101631,C39,0,0,1633,33853,0.0,0.0,0.0,0.0,604027548,1809842.26,1809842.26,2020,20.257699740966,0.4643841150462209,0.010999,-0.041321,0.132721,3.764358,3.332204510175204,1.791759469228055,0.5,1.0,0.4212789999999999,0.0,0.3337459630321595
000020,2021,2021-12-31,101631,C39,1,1,2005,36047,0.0004987531172069,2.7741559630482425e-05,0.4987531172069825,0.0277415596304824,360092271,1659474.98,1659474.98,2021,20.307649214487583,0.4795675895643024,0.011186,0.106787,0.105136,3.369477,3.367295829986474,1.791759469228055,0.5,1.0,0.4212789999999999,0.0,0.2169916843217485
000020,2022,2022-12-31,101631,C39,0,0,1625,33636,0.0,0.0,0.0,0.0,833721572,1617806.94,1617806.94,2022,20.22703952813381,0.4192434971417698,0.015965,-0.132151,0.274616,3.492527,3.4011973816621555,2.302585092994046,0.4,1.0,0.4212789999999999,0.0,0.5153405832218769
000020,2023,2023-12-31,101631,C39,0,0,1954,37719,0.0,0.0,0.0,0.0,814611254,2346091.81,2346091.81,2023,20.16210250309427,0.3568942782556223,0.022626,0.093472,0.363231,4.917659,3.4339872044851463,2.0794415416798357,0.375,1.0,0.4212789999999999,0.0,0.3472205352441003
000020,2024,2024-12-31,101631,C39,0,0,2217,41264,0.0,0.0,0.0,0.0,2212114674,2250074.16,2250074.16,2024,20.337886671144,0.4065519684219066,0.058747,0.124069,0.417934,4.072798,3.4657359027997265,1.9459101490553132,0.4285714285714285,1.0,0.4212789999999999,0.0,0.9831296733792988
000021,2020,2020-12-31,101632,C39,2,2,2265,60040,0.0008830022075055,3.331112591605596e-05,0.8830022075055187,0.0333111259160559,13385733579,27957297.49,27968640.49,2020,23.797560961890262,0.6297613315128697,0.04755,0.131839,0.125796,1.922159,3.295836866004329,2.5649493574615367,0.3846153846153846,0.0,0.366053,1.0,0.4787921144305139
000021,2021,2021-12-31,101632,C39,14,13,2302,61615,0.0056472632493483,0.0002272173983607,5.647263249348393,0.2272173983607887,5243329285,24710849.87,24719707.39,2021,24.020912760497374,0.5758078415300076,0.034265,0.101623,0.342178,1.489517,3.332204510175204,2.1972245773362196,0.3333333333333333,0.0,0.3450999999999999,1.0,0.2121873311757529
000021,2022,2022-12-31,101632,C39,12,12,2133,58613,0.0056258790436005,0.0002047327384709,5.625879043600563,0.2047327384709876,3683579112,16676382.92,16682681.32,2022,24.048767197837833,0.569896842984359,0.02511,-0.022433,0.221507,1.169652,3.367295829986474,2.302585092994046,0.4,0.0,0.3450999999999999,1.0,0.2208859756741541
000021,2023,2023-12-31,101632,C39,11,11,2242,60227,0.0049063336306868,0.0001826423364935,4.906333630686887,0.1826423364935992,14567090809,25287878.03,25297124.8,2023,24.033175612505556,0.5332297371156096,0.029872,-0.115007,0.159892,1.456895,3.4011973816621555,2.4849066497880004,0.3333333333333333,0.0,0.3450999999999999,1.0,0.5760503428448401
000021,2024,2024-12-31,101632,C39,8,8,2128,57656,0.0037593984962406,0.0001387539891771,3.7593984962406015,0.1387539891771888,13503863316,29741675.97,29744799.43,2024,24.01066671798232,0.4823924114053007,0.040162,0.039434,0.174603,1.593322,3.4339872044851463,2.1972245773362196,0.3333333333333333,0.0,0.3450999999999999,1.0,0.4540384116087188
000025,2020,2020-12-31,101778,F51,0,0,2061,48806,0.0,0.0,0.0,0.0,1538302273,6637953.61,6637953.61,2020,21.25884785730755,0.1895271494518976,0.035958,-0.256804,0.676158,4.160335,3.332204510175204,2.1972245773362196,0.3333333333333333,0.0,0.490865,1.0,0.231743450373405
000025,2021,2021-12-31,101778,F51,0,0,2180,51208,0.0,0.0,0.0,0.0,809404146,5875963.67,5875963.67,2021,21.343651556707652,0.2164151411542727,0.074019,0.198155,0.715735,3.445814,3.367295829986474,2.4849066497880004,0.25,0.0,0.490865,1.0,0.13774832375708
000025,2022,2022-12-31,101778,F51,0,0,2233,52235,0.0,0.0,0.0,0.0,3759150598,6736148.19,6736148.19,2022,21.526176674649772,0.257971973293562,0.039749,0.647243,0.949669,3.339651,3.4011973816621555,2.3978952727983707,0.2727272727272727,0.0,0.475107,1.0,0.5580563983999883
000025,2023,2023-12-31,101778,F51,0,0,2108,47879,0.0,0.0,0.0,0.0,1616683023,6249103.07,6249103.07,2023,21.60033815639584,0.2798757389160353,0.048077,1.20465,0.291825,2.92986,3.4339872044851463,2.302585092994046,0.3,0.0,0.488082,1.0,0.2587064103264982
000025,2024,2024-12-31,101778,F51,0,0,2187,50654,0.0,0.0,0.0,0.0,2134361000,6488697.85,6488697.85,2024,21.67664394567929,0.2685466227353926,0.055631,0.415294,0.51654,2.835521,3.4657359027997265,2.0794415416798357,0.375,0.0,0.490865,1.0,0.3289351807312156
000026,2020,2020-12-31,101779,F52,1,1,2339,49582,0.0004275331338178,2.0168609576055828e-05,0.4275331338178708,0.0201686095760558,2524225891,4077268.09,4128217.46,2020,22.11422746445892,0.3032692605011081,0.075613,0.145572,0.292097,1.418709,3.332204510175204,2.5649493574615367,0.25,0.0,0.380706,1.0,0.6190973552097233
