code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume
000027,2022,2022-12-31,101655,D44,5,4,2896,83820,0.0013812154696132596,5.965163445478406e-05,1.3812154696132597,0.05965163445478406,4994488792,30256999.87,30256999.87,-0.19321,22.331600900065705
000027,2023,2023-12-31,101655,D44,1,1,2848,79428,0.00035112359550561797,1.2590018633227576e-05,0.35112359550561795,0.012590018633227576,4210836502,30685164.96,30685164.96,0.036164,22.160927159202892
000027,2024,2024-12-31,101655,D44,3,3,3059,86816,0.0009807126511932004,3.455584224106156e-05,0.9807126511932004,0.034555842241061556,6337896686,30827886.66,30827886.66,0.026357,22.56981279751428
000028,2020,2020-12-31,101656,F51,0,0,3009,71602,0.0,0.0,0.0,0.0,1101946100,16842200.03,17094506.87,0.022928,20.820343636317652
000028,2021,2021-12-31,101656,F51,1,1,3137,77162,0.000318775900541919,1.2959747025738057e-05,0.318775900541919,0.012959747025738058,643752064,13598789.45,13802507.95,-0.175109,20.282824217704064
000028,2022,2022-12-31,101656,F51,0,0,3119,76330,0.0,0.0,0.0,0.0,727456703,12094758.93,12275946.09,-0.094375,20.405065041836867
000028,2023,2023-12-31,101656,F51,6,6,2915,72493,0.002058319039451115,8.276661194873988e-05,2.058319039451115,0.08276661194873988,1168239887,13858777.14,14066390.39,0.170173,20.878764083825775
000028,2024,2024-12-31,101656,F51,0,0,2109,56070,0.0,0.0,0.0,0.0,1195356315,13983071.11,14192546.36,0.032425,20.901710150270272
000029,2020,2020-12-31,102321,K70,0,0,1789,39182,0.0,0.0,0.0,0.0,746625906,6366452.4,6366452.4,-0.328111,20.43107482381594
000029,2021,2021-12-31,102321,K70,0,0,1934,44304,0.0,0.0,0.0,0.0,1402212260,6981697.8,6981697.8,0.108824,21.0613170128153
000029,2022,2022-12-31,102321,K70,0,0,1890,43337,0.0,0.0,0.0,0.0,3063413813,12385157.4,12385157.4,0.785185,21.842795756553237
000029,2023,2023-12-31,102321,K70,0,0,1686,39915,0.0,0.0,0.0,0.0,1420623962,10485921.6,10485921.6,-0.148956,21.074362022610412
000029,2024,2024-12-31,102321,K70,0,0,1663,40127,0.0,0.0,0.0,0.0,1516448471,13428399.6,13428399.6,0.280612,21.13963690627627
000030,2020,2020-12-31,102341,C36,5,5,2210,47925,0.0022624434389140274,0.00010432968179447053,2.2624434389140275,0.10432968179447052,4166835805,12917525.59,12938461.66,0.577731,22.150422785202664
000030,2021,2021-12-31,102341,C36,10,9,2461,56710,0.0036570499796830555,0.00017633574325515782,3.6570499796830553,0.17633574325515783,2927547083,12547862.69,13079480.31,0.051771,21.797430736654377
000030,2022,2022-12-31,102341,C36,7,7,2360,56050,0.0029661016949152543,0.0001248884924174844,2.9661016949152543,0.1248884924174844,1940830392,7748921.34,7756026.06,-0.366577,21.38638175606854
000030,2023,2023-12-31,102341,C36,4,3,2583,58635,0.0011614401858304297,6.821864074358318e-05,1.1614401858304297,0.06821864074358318,2143905236,9036398.52,9045021.07,0.270455,21.485894880017707
000030,2024,2024-12-31,102341,C36,3,3,2644,59349,0.0011346444780635401,5.054845068998635e-05,1.13464447806354,0.050548450689986354,2858437224,8681034.53,8689317.99,0.007491,21.773540887608547
000031,2020,2020-12-31,101916,K70,0,0,2577,75261,0.0,0.0,0.0,0.0,3038636202,7980169.82,18859778.69,-0.36351,21.834674634271423
000031,2021,2021-12-31,101916,K70,0,0,2371,72440,0.0,0.0,0.0,0.0,2088886903,7052491.63,15987948.75,-0.152273,21.45989717923288
000031,2022,2022-12-31,101916,K70,0,0,2457,70600,0.0,0.0,0.0,0.0,6167714036,15050855.76,16116538.15,0.008043,22.542594109778587
