code,report_year,total_ai_sentences,innovation_sentences,risk_sentences,neutral_sentences,mixed_sentences,total_sentences_in_report,AI_Disclosure,AI_Innovation_Disclosure,AI_Risk_Disclosure,AI_Innovation_Ratio,AI_Risk_Ratio,Y_return,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
000031,2019,6,4,0,2,0,1732,0.003464203233256351,0.002309468822170901,0.0,0.6666666666666666,0.0,,25.933749122999657,0.7677669810687114,0.02157,1.392892,0.318673,0.963801,3.295836866004329,2.302585092994046,0.3,0.0,0.538005,1.0
000031,2020,6,6,0,0,0,1555,0.003858520900321543,0.003858520900321543,0.0,1.0,0.0,-0.36351,26.02093993646742,0.7716218132440744,0.005847,0.137885,0.319862,0.943292,3.332204510175204,2.3978952727983707,0.36363636363636365,0.0,0.492763,1.0
000031,2021,6,4,0,2,0,1494,0.004016064257028112,0.002677376171352075,0.0,0.6666666666666666,0.0,-0.152273,26.08327598176009,0.7551267481944259,0.00372,0.108445,0.238531,0.925136,3.367295829986474,2.6390573296152584,0.2857142857142857,0.0,0.492763,1.0
000031,2022,3,1,0,2,0,1526,0.001965923984272608,0.000655307994757536,0.0,0.3333333333333333,0.0,0.008043,26.091259757472915,0.7784646950601243,-0.010407,-0.071239,0.350451,0.863303,3.4011973816621555,2.6390573296152584,0.35714285714285715,0.0,0.492763,1.0
000031,2023,2,0,0,2,0,1339,0.001493651979088872,0.0,0.0,0.0,0.0,-0.210106,26.01184182137437,0.7672686542571346,0.000588,-0.07063,0.303525,0.842683,3.4339872044851463,2.3978952727983707,0.36363636363636365,0.0,0.492763,1.0
000032,2019,7,6,1,0,0,1341,0.005219985085756898,0.004474272930648769,0.0007457121551081282,0.8571428571428571,0.1428571428571428,,21.57438188355163,0.2920259091927091,0.070194,-0.06219,0.532533,2.788759,3.295836866004329,2.4849066497880004,0.25,0.0,0.490418,1.0
000032,2020,18,17,1,0,0,1380,0.01304347826086956,0.01231884057971015,0.0007246376811594203,0.9444444444444444,0.05555555555555555,0.266197,21.673288308982688,0.3009582120534777,0.076695,0.013109,0.408741,3.152083,3.332204510175204,2.4849066497880004,0.3333333333333333,0.0,0.490418,1.0
000032,2021,55,43,1,9,2,2301,0.02390265102129509,0.01868752716210343,0.000434593654932638,0.7818181818181819,0.01818181818181818,0.158659,24.510410077021195,0.785054697364277,0.027637,2.032211,0.229086,1.115605,3.367295829986474,2.70805020110221,0.3333333333333333,0.0,0.177959,1.0
000032,2022,49,36,1,7,5,2032,0.02411417322834646,0.01771653543307087,0.0004921259842519685,0.7346938775510204,0.02040816326530612,-0.023626,24.690542148608095,0.8083662233985828,0.014448,0.195494,0.214643,1.137293,3.4011973816621555,2.1972245773362196,0.3333333333333333,0.0,0.178082,1.0
000032,2023,91,70,2,18,1,2249,0.04046242774566474,0.03112494441974211,0.0008892841262783459,0.7692307692307693,0.02197802197802198,0.055087,24.757831871007212,0.7898918478089678,0.015991,0.10248,0.217254,1.122576,3.4339872044851463,2.3978952727983707,0.2727272727272727,0.0,0.178082,1.0
000034,2019,72,41,4,26,1,1546,0.04657179818887452,0.02652005174644243,0.00258732212160414,0.5694444444444444,0.05555555555555555,,24.104971226102343,0.8513007172882072,0.025328,0.060413,0.136613,1.215227,3.258096538021482,2.1972245773362196,0.5555555555555556,1.0,0.236638,0.0
000034,2020,89,53,1,35,0,1579,0.05636478784040532,0.03356554781507283,0.0006333122229259025,0.5955056179775281,0.01123595505617977,0.091688,24.147189777273567,0.846762777761216,0.020765,0.060563,0.14278,1.23226,3.295836866004329,1.9459101490553132,0.5714285714285714,1.0,0.234668,0.0
000034,2021,102,54,4,44,0,1866,0.05466237942122187,0.02893890675241157,0.002143622722400857,0.5294117647058824,0.0392156862745098,-0.253532,24.385631353685103,0.8301454586485454,0.007173,0.329397,0.128235,1.080481,3.332204510175204,2.1972245773362196,0.6,1.0,0.234255,0.0
000034,2022,110,53,4,51,2,2001,0.05497251374312843,0.02648675662168916,0.001999000499750125,0.4818181818181818,0.03636363636363636,0.398092,24.417531800075754,0.7956044008323057,0.026155,-0.053151,0.146736,1.131458,3.367295829986474,2.0794415416798357,0.6,1.0,0.231545,0.0
000034,2023,149,81,4,61,3,2110,0.07061611374407582,0.03838862559241706,0.001895734597156398,0.5436241610738255,0.02684563758389262,0.383582,24.527340708304912,0.793700550998361,0.028352,0.032308,0.184702,1.197113,3.4011973816621555,2.1972245773362196,0.5555555555555556,1.0,0.231156,0.0
000035,2019,14,5,0,9,0,2099,0.006669842782277275,0.00238208670795617,0.0,0.3571428571428572,0.0,,24.579710824862968,0.7525528872677132,0.027432,1.699788,0.208776,1.041515,3.258096538021482,1.9459101490553132,0.42857142857142855,0.0,0.16203399999999998,0.0
000035,2020,10,5,0,5,0,1527,0.006548788474132285,0.003274394237066143,0.0,0.5,0.0,-0.333874,24.64281807381993,0.7519837561718643,0.016965,0.176488,0.152549,0.959058,3.295836866004329,2.1972245773362196,0.4444444444444444,0.0,0.16203399999999998,0.0
000035,2021,19,10,1,8,0,1626,0.01168511685116851,0.006150061500615006,0.0006150061500615006,0.5263157894736842,0.05263157894736842,0.462287,23.921915029191293,0.5448085179724255,0.023186,-0.058297,0.556766,1.159347,3.332204510175204,1.9459101490553132,0.42857142857142855,0.0,0.16203399999999998,0.0
000035,2022,12,11,0,1,0,1444,0.008310249307479225,0.007617728531855956,0.0,0.9166666666666666,0.0,-0.139767,23.999193682041316,0.6056300956896348,0.004772,-0.611835,0.081848,1.086583,3.367295829986474,2.0794415416798357,0.5,0.0,0.152148,0.0
000035,2023,12,9,0,2,1,1628,0.007371007371007371,0.005528255528255528,0.0,0.75,0.0,-0.025641,24.059467853869492,0.6145240854742838,0.014084,-0.206222,0.041231,1.056395,3.4011973816621555,2.3978952727983707,0.5454545454545454,0.0,0.145096,0.0
000036,2020,7,6,0,1,0,1127,0.006211180124223602,0.005323868677905945,0.0,0.8571428571428571,0.0,0.016241,23.106921460181823,0.46281849588416385,0.067251,-0.146297,1.350813,1.007408,3.295836866004329,1.9459101490553132,0.42857142857142855,0.0,0.332136,0.0
000036,2021,3,3,0,0,0,1146,0.002617801047120419,0.002617801047120419,0.0,1.0,0.0,0.148241,22.983578813465993,0.3728753160014896,0.051641,-0.304295,0.964626,1.044582,3.332204510175204,1.9459101490553132,0.42857142857142855,0.0,0.332136,0.0
