code,report_year,total_ai_sentences,innovation_sentences,risk_sentences,neutral_sentences,mixed_sentences,total_sentences_in_report,AI_Disclosure,AI_Innovation_Disclosure,AI_Risk_Disclosure,AI_Innovation_Ratio,AI_Risk_Ratio
000050,2022,9,7,1,1,0,1911,0.004709576138147566,0.003663003663003663,0.0005232862375719519,0.7777777777777778,0.1111111111111111
000050,2023,12,10,1,1,0,1942,0.006179196704428424,0.005149330587023687,0.0005149330587023687,0.8333333333333334,0.08333333333333333
000055,2019,16,13,0,3,0,1373,0.01165331391114348,0.009468317552804079,0.0,0.8125,0.0
000055,2020,13,10,0,3,0,1348,0.009643916913946587,0.00741839762611276,0.0,0.7692307692307693,0.0
000055,2021,12,11,0,1,0,1443,0.008316008316008316,0.007623007623007623,0.0,0.9166666666666666,0.0
000055,2022,14,13,0,1,0,1393,0.01005025125628141,0.00933237616654702,0.0,0.9285714285714286,0.0
000055,2023,20,19,0,1,0,1459,0.01370801919122687,0.01302261823166552,0.0,0.95,0.0
000058,2019,1,1,0,0,0,1271,0.0007867820613690008,0.0007867820613690008,0.0,1.0,0.0
000058,2020,5,5,0,0,0,1089,0.004591368227731864,0.004591368227731864,0.0,1.0,0.0
000058,2021,6,6,0,0,0,1185,0.005063291139240506,0.005063291139240506,0.0,1.0,0.0
000058,2022,3,3,0,0,0,1149,0.002610966057441253,0.002610966057441253,0.0,1.0,0.0
000058,2023,2,2,0,0,0,1135,0.001762114537444934,0.001762114537444934,0.0,1.0,0.0
000059,2019,1,1,0,0,0,921,0.001085776330076004,0.001085776330076004,0.0,1.0,0.0
000059,2020,2,2,0,0,0,853,0.002344665885111371,0.002344665885111371,0.0,1.0,0.0
000059,2021,2,2,0,0,0,923,0.002166847237269772,0.002166847237269772,0.0,1.0,0.0
000059,2022,4,4,0,0,0,875,0.004571428571428572,0.004571428571428572,0.0,1.0,0.0
000059,2023,2,2,0,0,0,810,0.002469135802469136,0.002469135802469136,0.0,1.0,0.0
000060,2019,2,1,0,1,0,1272,0.001572327044025157,0.0007861635220125787,0.0,0.5,0.0
000060,2020,2,2,0,0,0,1365,0.001465201465201465,0.001465201465201465,0.0,1.0,0.0
000060,2021,1,1,0,0,0,1523,0.0006565988181221273,0.0006565988181221273,0.0,1.0,0.0
000060,2023,5,5,0,0,0,1593,0.003138731952291274,0.003138731952291274,0.0,1.0,0.0
000061,2020,5,3,0,1,1,1413,0.003538570417551309,0.002123142250530786,0.0,0.6,0.0
000061,2021,7,6,0,0,1,1367,0.005120702267739576,0.004389173372348208,0.0,0.8571428571428571,0.0
000061,2022,3,3,0,0,0,1191,0.002518891687657431,0.002518891687657431,0.0,1.0,0.0
000061,2023,4,3,1,0,0,1379,0.00290065264684554,0.002175489485134155,0.0007251631617113851,0.75,0.25
000062,2019,8,7,0,1,0,1198,0.00667779632721202,0.005843071786310518,0.0,0.875,0.0
000062,2020,7,7,0,0,0,1121,0.006244424620874219,0.006244424620874219,0.0,1.0,0.0
000062,2021,10,8,1,1,0,1193,0.008382229673093043,0.006705783738474434,0.0008382229673093043,0.8,0.1
000062,2022,17,17,0,0,0,1258,0.01351351351351351,0.01351351351351351,0.0,1.0,0.0
000062,2023,30,28,0,2,0,1292,0.02321981424148607,0.021671826625387,0.0,0.9333333333333333,0.0
000063,2019,31,18,0,12,1,2169,0.01429230059935454,0.008298755186721992,0.0,0.5806451612903226,0.0
000063,2020,28,13,0,14,1,2192,0.01277372262773723,0.005930656934306569,0.0,0.4642857142857143,0.0
000063,2021,49,25,0,23,1,2406,0.02036575228595179,0.01039068994181214,0.0,0.5102040816326531,0.0
000063,2022,48,26,1,20,1,2227,0.02155365963179165,0.01167489896722048,0.000449034575662326,0.5416666666666666,0.02083333333333333
000063,2023,76,55,1,19,1,2088,0.03639846743295019,0.02634099616858238,0.0004789272030651341,0.7236842105263158,0.0131578947368421
000065,2019,16,12,0,4,0,1550,0.01032258064516129,0.007741935483870968,0.0,0.75,0.0
